Designator,q,Package,MidX,MidY,Rotation,Layer
C1,0.1u,C_0603_HandSoldering,247.70625,-174.85625,90,bottom
C2,0.1u,C_0603_HandSoldering,247.70625,-182.15625,270,bottom
C3,0.1u,C_0603_HandSoldering,261.05625,-187.90625,180,bottom
C4,0.1u,C_0603_HandSoldering,260.65625,-169.30625,180,bottom
C5,4.7u,C_0603_HandSoldering,251.35625,-168.30625,0,bottom
C6,1u,C_0603_HandSoldering,258.30625,-167.95625,90,bottom
C7,C_Small,C_0603_HandSoldering,271.90625,-175.90625,0,bottom
C8,C_Small,C_0603_HandSoldering,271.90625,-181.90625,180,bottom
D1,D,D_SOD-123,86.915698,-107.15634,90,bottom
D2,D,D_SOD-123,105.965714,-107.15634,90,bottom
D3,D,D_SOD-123,125.015625,-107.15625,90,bottom
D4,D,D_SOD-123,144.065625,-107.15625,90,bottom
D5,D,D_SOD-123,163.115625,-107.15625,90,bottom
D6,D,D_SOD-123,182.165625,-107.15625,90,bottom
D7,D,D_SOD-123,201.215625,-107.15625,90,bottom
D8,D,D_SOD-123,220.265625,-107.15625,90,bottom
D9,D,D_SOD-123,239.315625,-107.15625,90,bottom
D10,D,D_SOD-123,258.365625,-107.15625,90,bottom
D11,D,D_SOD-123,277.415625,-107.15625,90,bottom
D12,D,D_SOD-123,296.465625,-107.15625,90,bottom
D13,D,D_SOD-123,315.515625,-107.15625,90,bottom
D14,D,D_SOD-123,334.565625,-107.15625,90,bottom
D15,D,D_SOD-123,353.615625,-107.15625,90,bottom
D16,D,D_SOD-123,91.678125,-126.20625,90,bottom
D17,D,D_SOD-123,115.490625,-126.20625,90,bottom
D18,D,D_SOD-123,134.540625,-126.20625,90,bottom
D19,D,D_SOD-123,153.590625,-126.20625,90,bottom
D20,D,D_SOD-123,172.640625,-126.20625,90,bottom
D21,D,D_SOD-123,191.690625,-126.20625,90,bottom
D22,D,D_SOD-123,210.740625,-126.20625,90,bottom
D23,D,D_SOD-123,229.790625,-126.20625,90,bottom
D24,D,D_SOD-123,248.840625,-126.20625,90,bottom
D25,D,D_SOD-123,267.890625,-126.20625,90,bottom
D26,D,D_SOD-123,286.940625,-126.20625,90,bottom
D27,D,D_SOD-123,305.990625,-126.20625,90,bottom
D28,D,D_SOD-123,325.040625,-126.20625,90,bottom
D29,D,D_SOD-123,348.853125,-126.20625,90,bottom
D30,D,D_SOD-123,372.665625,-126.20625,90,bottom
D31,D,D_SOD-123,89.296875,-145.25625,90,bottom
D32,D,D_SOD-123,120.253125,-145.25625,90,bottom
D33,D,D_SOD-123,139.303125,-145.25625,90,bottom
D34,D,D_SOD-123,158.353125,-145.25625,90,bottom
D35,D,D_SOD-123,177.403125,-145.25625,90,bottom
D36,D,D_SOD-123,196.453125,-145.25625,90,bottom
D37,D,D_SOD-123,215.503125,-145.25625,90,bottom
D38,D,D_SOD-123,234.553125,-145.25625,90,bottom
D39,D,D_SOD-123,253.603125,-145.25625,90,bottom
D40,D,D_SOD-123,272.653125,-145.25625,90,bottom
D41,D,D_SOD-123,291.703125,-145.25625,90,bottom
D42,D,D_SOD-123,310.753125,-145.25625,90,bottom
D43,D,D_SOD-123,341.709375,-145.25625,90,bottom
D44,D,D_SOD-123,372.6625,-108.9,90,bottom
D44,D,D_SOD-123,372.665625,-145.25625,90,bottom
D45,D,D_SOD-123,98.821875,-164.30625,90,bottom
D46,D,D_SOD-123,129.778125,-164.30625,90,bottom
D47,D,D_SOD-123,148.828125,-164.30625,90,bottom
D48,D,D_SOD-123,167.878125,-164.30625,90,bottom
D49,D,D_SOD-123,186.928125,-164.30625,90,bottom
D50,D,D_SOD-123,205.978125,-164.30625,90,bottom
D51,D,D_SOD-123,225.028125,-164.30625,90,bottom
D52,D,D_SOD-123,244.078125,-164.30625,90,bottom
D53,D,D_SOD-123,263.128125,-164.30625,90,bottom
D54,D,D_SOD-123,282.178125,-164.30625,90,bottom
D55,D,D_SOD-123,301.228125,-164.30625,90,bottom
D56,D,D_SOD-123,327.421875,-164.30625,90,bottom
D57,D,D_SOD-123,353.615625,-164.30625,90,bottom
D58,D,D_SOD-123,372.665625,-164.30625,90,bottom
D59,D,D_SOD-123,91.678125,-183.35625,90,bottom
D60,D,D_SOD-123,115.490625,-183.35625,90,bottom
D61,D,D_SOD-123,139.303125,-183.35625,90,bottom
D62,D,D_SOD-123,220.265625,-183.35625,90,bottom
D63,D,D_SOD-123,301.228125,-183.35625,90,bottom
D64,D,D_SOD-123,334.565625,-183.35625,90,bottom
D65,D,D_SOD-123,353.615625,-183.35625,90,bottom
D66,D,D_SOD-123,372.665625,-183.35625,90,bottom
F1,5.1kÎ©,Fuse_1206_3216Metric,233.3816,-108.646,0,bottom
R1,5.5k,R_0603_HandSoldering,230.35625,-104.90625,270,bottom
R2,5.5k,R_0603_HandSoldering,235.6168,-104.8868,270,bottom
R3,22,R_0603_HandSoldering,254.2,-167.9,270,bottom
R4,22,R_0603_HandSoldering,256.6,-167.9,270,bottom
R5,10k,R_0603_HandSoldering,266.7,-175.1125,90,bottom
R6,10k,R_0603_HandSoldering,246.2,-182.2,270,bottom
U1,ATMEGA32U4,TQFP-44_10x10mm_Pitch0.8mm,257.4,-178.59375,270,bottom
U2,SRV05-4,SOT-23-6_Handsoldering,233.3308,-111.6432,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,233.4,-92.055,0,bottom
